"cmpttn_yr","admdst_cd","admdst_se_cd","admdst_nm","bldg_elpwr_use_cbn_ehqty","bldg_gas_use_cbn_ehqty","bldg_hetng_use_cbn_ehqty","trsp_lv6_cbn_ehqty","sum_ehqty","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt"
"2015","4155000000",ADM002,안성시,1086637.7400000000,216335.6600000000,0.0000000000,0.0000000000,1302973.4000000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2015","4157000000",ADM002,김포시,1262328.0300000000,234709.8600000000,33583.3800000000,0.0000000000,1530621.2700000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2015","4159000000",ADM002,화성시,6877030.5800000000,1105813.1200000000,78648.5800000000,0.0000000000,8061492.2800000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2015","4161000000",ADM002,광주시,944753.3700000000,253855.8300000000,0.0000000000,0.0000000000,1198609.2000000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2015","4163000000",ADM002,양주시,811711.3800000000,303348.8400000000,15605.2300000000,0.0000000000,1130665.4500000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2015","4165000000",ADM002,포천시,1015553.5700000000,88351.0900000000,0.0000000000,0.0000000000,1103904.6600000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2015","4167000000",ADM002,여주시,504327.4200000000,122803.6900000000,0.0000000000,0.0000000000,627131.1100000000,system,2025-06-11 17:19:43.911,system,2025-06-11 17:19:43.911
"2015","4180000000",ADM002,연천군,155226.4100000000,19324.5200000000,0.0000000000,0.0000000000,174550.9300000000,system,2025-06-11 17:19:43.911,system,2025-06-11 17:19:43.911
"2015","4182000000",ADM002,가평군,245296.2700000000,14815.6500000000,0.0000000000,0.0000000000,260111.9200000000,system,2025-06-11 17:19:43.911,system,2025-06-11 17:19:43.911
"2015","4183000000",ADM002,양평군,351261.4600000000,21540.0400000000,0.0000000000,0.0000000000,372801.5000000000,system,2025-06-11 17:19:43.911,system,2025-06-11 17:19:43.911
"2016","4111000000",ADM002,수원시,2364793.6700000000,1014906.0100000000,154194.0600000000,0.0000000000,3533893.7400000000,system,2025-06-11 17:19:43.911,system,2025-06-11 17:19:43.911
"2016","4113000000",ADM002,성남시,2086451.9000000000,739686.5700000000,205150.1300000000,0.0000000000,3031288.6000000000,system,2025-06-11 17:19:43.911,system,2025-06-11 17:19:43.911
"2016","4115000000",ADM002,의정부시,627801.5500000000,396605.2200000000,6135.7500000000,0.0000000000,1030542.5200000000,system,2025-06-11 17:19:43.911,system,2025-06-11 17:19:43.911
"2016","4117000000",ADM002,안양시,1094519.6400000000,388501.6800000000,69851.0600000000,0.0000000000,1552872.3800000000,system,2025-06-11 17:19:43.911,system,2025-06-11 17:19:43.911
"2016","4119000000",ADM002,부천시,1851943.6300000000,676832.3600000000,78330.6100000000,0.0000000000,2607106.6000000000,system,2025-06-11 17:19:43.911,system,2025-06-11 17:19:43.911
"2016","4121000000",ADM002,광명시,516702.3900000000,326935.8800000000,12252.6100000000,0.0000000000,855890.8800000000,system,2025-06-11 17:19:43.911,system,2025-06-11 17:19:43.911
"2016","4122000000",ADM002,평택시,2883487.1800000000,876854.2400000000,6072.2000000000,0.0000000000,3766413.6200000000,system,2025-06-11 17:19:43.911,system,2025-06-11 17:19:43.911
"2016","4125000000",ADM002,동두천시,250878.1000000000,101364.4400000000,0.0000000000,0.0000000000,352242.5400000000,system,2025-06-11 17:19:43.911,system,2025-06-11 17:19:43.911
"2016","4127000000",ADM002,안산시,3659377.6800000000,1150490.3200000000,53874.9800000000,0.0000000000,4863742.9800000000,system,2025-06-11 17:19:43.911,system,2025-06-11 17:19:43.911
"2016","4128000000",ADM002,고양시,1916747.8100000000,527398.6100000000,231293.3400000000,0.0000000000,2675439.7600000000,system,2025-06-11 17:19:43.911,system,2025-06-11 17:19:43.911
"2016","4129000000",ADM002,과천시,140445.4600000000,41254.6800000000,11719.2700000000,0.0000000000,193419.4100000000,system,2025-06-11 17:19:43.911,system,2025-06-11 17:19:43.911
"2016","4131000000",ADM002,구리시,319189.7000000000,164996.1500000000,1133.4300000000,0.0000000000,485319.2800000000,system,2025-06-11 17:19:43.911,system,2025-06-11 17:19:43.911
"2016","4136000000",ADM002,남양주시,1099332.7200000000,488387.5600000000,15323.7100000000,0.0000000000,1603043.9900000000,system,2025-06-11 17:19:43.911,system,2025-06-11 17:19:43.911
"2016","4137000000",ADM002,오산시,490039.7000000000,139261.4100000000,21583.2300000000,0.0000000000,650884.3400000000,system,2025-06-11 17:19:43.911,system,2025-06-11 17:19:43.911
"2016","4139000000",ADM002,시흥시,1777286.9900000000,596549.1000000000,3818.3700000000,0.0000000000,2377654.4600000000,system,2025-06-11 17:19:43.911,system,2025-06-11 17:19:43.911
"2016","4141000000",ADM002,군포시,551335.8900000000,214445.1900000000,51323.3500000000,0.0000000000,817104.4300000000,system,2025-06-11 17:19:43.911,system,2025-06-11 17:19:43.911
"2016","4143000000",ADM002,의왕시,298733.2200000000,91120.9300000000,16626.5000000000,0.0000000000,406480.6500000000,system,2025-06-11 17:19:43.911,system,2025-06-11 17:19:43.911
"2016","4145000000",ADM002,하남시,340555.9100000000,133303.3200000000,12681.7100000000,0.0000000000,486540.9400000000,system,2025-06-11 17:19:43.911,system,2025-06-11 17:19:43.911
"2016","4146000000",ADM002,용인시,2649707.0400000000,703254.4200000000,190416.0000000000,0.0000000000,3543377.4600000000,system,2025-06-11 17:19:43.911,system,2025-06-11 17:19:43.911
"2016","4148000000",ADM002,파주시,1670029.4200000000,446532.1800000000,35832.6400000000,0.0000000000,2152394.2400000000,system,2025-06-11 17:19:43.911,system,2025-06-11 17:19:43.911
"2016","4150000000",ADM002,이천시,2229131.7100000000,398038.3700000000,0.0000000000,0.0000000000,2627170.0800000000,system,2025-06-11 17:19:43.911,system,2025-06-11 17:19:43.911
"2016","4155000000",ADM002,안성시,1131994.1500000000,225335.5200000000,0.0000000000,0.0000000000,1357329.6700000000,system,2025-06-11 17:19:43.911,system,2025-06-11 17:19:43.911
